Country,Clicks,Impressions,CTR,Position
Nigeria,79,1468,5.38%,9.2
United States,0,134,0%,8.79
New Zealand,0,17,0%,7.18
Germany,0,16,0%,8.31
Netherlands,0,13,0%,8.54
United Kingdom,0,12,0%,21.67
Canada,0,11,0%,7.18
Russia,0,5,0%,8.2
Vietnam,0,5,0%,14
Italy,0,4,0%,7.5
Brazil,0,4,0%,9.5
China,0,3,0%,6.33
India,0,3,0%,10.33
Turkey,0,3,0%,17
Ghana,0,2,0%,3
Austria,0,2,0%,7
Niger,0,2,0%,8
Spain,0,2,0%,11
Hong Kong,0,2,0%,11.5
Serbia,0,2,0%,14
Australia,0,2,0%,15
Ethiopia,0,1,0%,1
Palestine,0,1,0%,1
Japan,0,1,0%,2
Nepal,0,1,0%,2
Thailand,0,1,0%,3
Argentina,0,1,0%,4
St. Lucia,0,1,0%,4
Greece,0,1,0%,5
Ireland,0,1,0%,5
Dominican Republic,0,1,0%,6
Indonesia,0,1,0%,6
Mexico,0,1,0%,6
Puerto Rico,0,1,0%,6
Malaysia,0,1,0%,7
Romania,0,1,0%,7
Ukraine,0,1,0%,7
Cyprus,0,1,0%,8
France,0,1,0%,8
Chad,0,1,0%,8
United Arab Emirates,0,1,0%,9
Jordan,0,1,0%,9
Pakistan,0,1,0%,10
Finland,0,1,0%,12
Jamaica,0,1,0%,12
Lithuania,0,1,0%,13
Morocco,0,1,0%,13
Poland,0,1,0%,13
Iraq,0,1,0%,15
Venezuela,0,1,0%,20
Tunisia,0,1,0%,31
Tanzania,0,1,0%,38